"Story","Title","Result","Date","Stability","Duration (s)"
"Authorized","Login user","SUCCESS","2023-04-10T10:07:52.0417685+07:00[Asia/Jakarta]","0.0","16.83"
"Baby","Fitur Menu Baby","SUCCESS","2023-04-10T10:08:10.4910613+07:00[Asia/Jakarta]","0.0","230.26"
